Body,Date,RA_deg (App),Dec_deg (App),X(Sat-Prim)_Arcsec,Y(Sat-Prim)_Arcsec,X(Sat-Prim)_Rad,Y(Sat-Prim)_Rad,Distance_AU,Mag
Mercury,2024-Jun-01 22:00,55.30305,18.31584,-50215.46,-14018.44,-0.243451420112087,-0.0679633149981316,1.21190406855891,-0.936
Venus,2024-Jun-01 22:00,69.60286,21.94446,-2555.62,-955.406,-0.0123899953971715,-0.00463193899814137,1.73498898281722,-3.898
Mars,2024-Jun-01 22:00,23.18887,8.43135,-157248.82,-49602.58,-0.762363792743308,-0.240480094023302,1.85558608788419,1.128
Jupiter,2024-Jun-01 22:00,59.67200,19.78542,-35654.20,-8727.92,-0.172856439490156,-0.0423141502362954,6.01410217789936,-1.994
Saturn,2024-Jun-01 22:00,350.42609,-6.14790,-266443.91,-102087.90,-1.29175652816318,-0.494936105957422,9.76330728409148,1.018
Uranus,2024-Jun-01 22:00,51.92260,18.57326,-61482.17,-13091.72,-0.298073971603023,-0.0634704496525533,20.5527106532586,5.859
Neptune,2024-Jun-01 22:00,0.20643,-1.27805,-233847.00,-84556.42,-1.13372224886422,-0.40994109241644,30.1941778753156,7.778
Moon,2024-Jun-01 22:00,10.34489,3.17716,50403.387,-184230.693,0.244362516332591,-0.893175607849,0.00247790010192,-8.871
